$FrameId	Row_ID	Description	fold_change_strain
GKDD-1955-MONOMER	KGA55126.1	 Holliday junction DNA helicase RuvB [Yersinia pestis]	-2.0
GKDD-3182-MONOMER	KGA52161.1	 tRNA pseudouridine synthase D [Yersinia pestis]	-2.0
GKDD-3181-MONOMER	KGA52211.1	 5'/3'-nucleotidase SurE [Yersinia pestis]	-2.0
GKDD-152-MONOMER	KGA52283.1	 ribulose-phosphate 3-epimerase [Yersinia pestis]	-2.0
GKDD-888-MONOMER	KGA48973.1	 YGGT family protein [Yersinia pestis]	-2.0
GKDD-26-MONOMER	KGA52494.1	 der GTPase activator family protein [Yersinia pestis]	-2.0
GKDD-3314-MONOMER	KGA53218.1	 tRNA pseudouridine(55) synthase [Yersinia pestis]	-2.0
GKDD-2878-MONOMER	KGA54251.1	 bacterial regulatory s, luxR family protein [Yersinia pestis]	-2.0
GKDD-1780-MONOMER	KGA54455.1	 hypothetical protein DJ56_2359 [Yersinia pestis]	-2.0
GKDD-559-MONOMER	KGA55218.1	 oxidoreductase, NAD-binding Rossmann fold family protein [Yersinia pestis]	-2.0
GKDD-3210-MONOMER	KGA52224.1	 iron-sulfur cluster insertion protein erpA [Yersinia pestis]	-2.0
	KGA52991.1	 hypothetical protein DJ56_4 [Yersinia pestis]	-2.0
GKDD-4018-MONOMER	KGA53813.1	 ParB/RepB/Spo0J family partition domain protein [Yersinia pestis]	-2.0
GKDD-3892-MONOMER	KGA52665.1	 alpha amylase, catalytic domain protein [Yersinia pestis]	-2.0
GKDD-180-MONOMER	KGA53265.1	 alpha-ketoglutarate-dependent taurine dioxygenase [Yersinia pestis]	-2.0
GKDD-2838-MONOMER	KGA54276.1	 response regulator [Yersinia pestis]	-2.0
GKDD-1005-MONOMER	KGA55547.1	 hypothetical protein DJ56_3583 [Yersinia pestis]	-2.0
GKDD-3621-MONOMER	KGA51874.1	 glycerophosphoryl diester phosphodiesterase family protein [Yersinia pestis]	-2.0
GKDD-3859-MONOMER	KGA52571.1	 xylulokinase [Yersinia pestis]	-2.0
GKDD-620-MONOMER	KGA53998.1	 bacterial SH3 domain protein [Yersinia pestis]	-2.0
GKDD-804-MONOMER	KGA54877.1	 glycosyl hydrolase 53 family protein [Yersinia pestis]	-2.0
GKDD-130-MONOMER	KGA52239.1	 ferrous iron transport protein B [Yersinia pestis]	-2.0
GKDD-465-MONOMER	KGA52463.1	 dihydrofolate reductase [Yersinia pestis]	-2.0
GKDD-41-MONOMER	KGA53008.1	 ATP-dependent DNA helicase RecG [Yersinia pestis]	-2.0
GKDD-3178-MONOMER	KGA52177.1	 RNA polymerase sigma factor RpoS [Yersinia pestis]	-2.0
GKDD-2185-MONOMER	KGA53019.1	 HAMP domain protein [Yersinia pestis]	-2.0
GKDD-3506-MONOMER	KGA54759.1	 protein pmbA [Yersinia pestis]	-2.0
GKDD-840-MONOMER	KGA54841.1	 inner membrane CreD family protein [Yersinia pestis]	-2.0
GKDD-428-MONOMER	KGA52411.1	 ompA family protein [Yersinia pestis]	2.0
GKDD-1557-MONOMER	KGA52613.1	 cupin superfamily protein [Yersinia pestis]	2.0
GKDD-2471-MONOMER	KGA54543.1	 leucine--tRNA ligase [Yersinia pestis]	2.0
GKDD-1068-MONOMER	KGA51749.1	 tol-pal system protein YbgF [Yersinia pestis]	2.0
GKDD-3995-MONOMER	KGA55165.1	 SPFH domain / Band 7 family protein [Yersinia pestis]	2.0
GKDD-3017-MONOMER	KGA50799.1	 tRNA-guanine transglycosylase [Yersinia pestis]	2.0
GKDD-869-MONOMER	KGA53690.1	 istB-like ATP binding family protein [Yersinia pestis]	2.0
GKDD-3608-MONOMER	KGA51871.1	 2-polyprenylphenol 6-hydroxylase [Yersinia pestis]	2.0
GKDD-884-MONOMER	KGA48977.1	 agmatine deiminase [Yersinia pestis]	2.0
GKDD-2467-MONOMER	KGA54566.1	 ribosome silencing factor [Yersinia pestis]	2.0
GKDD-3486-MONOMER	KGA54802.1	 ribonuclease G [Yersinia pestis]	2.0
GKDD-970-MONOMER	KGA55573.1	 ftsJ-like methyltransferase family protein [Yersinia pestis]	2.0
GKDD-61-MONOMER	KGA53058.1	 lipopolysaccharide heptosyltransferase I [Yersinia pestis]	2.0
GKDD-1914-MONOMER	KGA51682.1	 4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase [Yersinia pestis]	2.0
GKDD-1248-MONOMER	KGA55290.1	 hypothetical protein DJ56_3199 [Yersinia pestis]	2.0
GKDD-527-MONOMER	KGA51789.1	 UDP-N-acetylmuramoylalanine--D-glutamate ligase [Yersinia pestis]	2.0
GKDD-62-MONOMER	KGA53115.1	 lipopolysaccharide heptosyltransferase II [Yersinia pestis]	2.0
GKDD-181-MONOMER	KGA53374.1	 glycosyltransferase 9 family protein [Yersinia pestis]	2.0
GKDD-2461-MONOMER	KGA54546.1	 hypothetical protein DJ56_2497 [Yersinia pestis]	2.0
GKDD-115-MONOMER	KGA52218.1	 aspartate kinase domain protein [Yersinia pestis]	2.0
GKDD-2856-MONOMER	KGA54241.1	 SIS domain protein [Yersinia pestis]	2.0
GKDD-1866-MONOMER	KGA53433.1	 succinylornithine transaminase family protein [Yersinia pestis]	2.0
GKDD-1697-MONOMER	KGA54388.1	 ATP-independent RNA helicase dbpA [Yersinia pestis]	2.0
